section id,recording id,recording name,wearer id,wearer name,section start time [ns],section end time [ns],start event name,end event name
ece4f848-ebc3-47e4-8fa9-d39702213bd6,fde2c540-7186-4261-bd01-3d592551421c,group13_A13_LeadFollow,82e1806f-6e25-4a88-a32d-dd38e4132e30,A13,1699021264329000000,1699021416271000000,recording.begin,recording.end
a7e34556-6805-40b4-a34c-f65411238499,e8c3735f-2dcc-42c2-ae91-45d88139b551,group13_B13_Custom,3a13410c-b8fd-4fd2-8733-690708c50e27,B13,1699022271759000000,1699022334149000000,recording.begin,recording.end
27e8d4c5-dd1c-4168-9ab1-5b55557bb0d7,8c5f8daa-41e7-440f-84a4-37bf38f6504f,group13_A13_Custom,82e1806f-6e25-4a88-a32d-dd38e4132e30,A13,1699022271338000000,1699022329766000000,recording.begin,recording.end
24a596b9-5bea-424b-9007-36738e1171fa,d7f173d0-fa84-4488-b943-a6600122a3ba,group10_A10_LeadFollow,f3b18e10-4aaf-4721-b2e3-73ecc3fe6a2e,A10,1699012930708000000,1699013060500000000,recording.begin,recording.end
5ff83a24-ec12-4972-aeb8-a0c3de3d95fc,d760d17c-f0ca-41e7-90b2-c09f8cf7bd78,group10_A10_FollowLead,f3b18e10-4aaf-4721-b2e3-73ecc3fe6a2e,A10,1699013435706000000,1699013489423000000,recording.begin,recording.end
74ee8d28-ad83-42e3-8330-e73fde9853f5,8d95c5ec-0247-458a-b63c-37ca77ac5447,group10_B10_FollowLead,a2ea62a8-fcfa-43b3-b37b-28d3fdc94971,B10,1699013437663000000,1699013493473000000,recording.begin,recording.end
f1c02a99-38bb-4836-867a-37373cf392ae,bb9a1bb6-39f7-42a1-ad89-98cff8536c73,group5_A5_LeadFollow,9e8d924f-0d1c-49ed-99e0-e6863ff1155c,A5,1699016573182000000,1699016686432000000,recording.begin,recording.end
cff3bf20-cff6-4f94-8b32-5f9cd8b3f906,4672e9f3-dd5b-4ab5-94cc-d2e9ce47372b,group10_B10_Custom,a2ea62a8-fcfa-43b3-b37b-28d3fdc94971,B10,1699013766892000000,1699013824307000000,recording.begin,recording.end
f106ce29-c62a-4313-bd06-df9b04826ef9,abcb08f3-f3f2-4e52-a9ed-aed88a953b6c,group10_A10_Custom,f3b18e10-4aaf-4721-b2e3-73ecc3fe6a2e,A10,1699013763158000000,1699013825141000000,recording.begin,recording.end
787b806f-d7c8-4473-ab8c-50980036796f,cfbf015d-8f27-4b68-93de-6cac9f4bf255,group10_B10_LeadFollow,a2ea62a8-fcfa-43b3-b37b-28d3fdc94971,B10,1699012930773000000,1699013061706000000,recording.begin,recording.end
4757a598-c4c3-4b65-806a-22b881692646,0de610e6-6cc6-4a65-b611-ef5ad9ea74b1,group10_A10_JointLead,f3b18e10-4aaf-4721-b2e3-73ecc3fe6a2e,A10,1699013251025000000,1699013317306000000,recording.begin,recording.end
8ae4ea75-035e-429b-9cf9-30cbd2afc03f,c8f65241-590d-424a-b18c-aaa35c002538,group10_B10_JointLead,a2ea62a8-fcfa-43b3-b37b-28d3fdc94971,B10,1699013251904000000,1699013323096000000,recording.begin,recording.end
67f761b1-5573-4fef-a45d-64c5b4247aed,028a5133-d93a-476e-a174-4e190760f9cc,group0_B0_JointLead,f17fc0d6-6712-47c9-8114-fa2782bb96a5,B0,1698823141300000000,1698823232866000000,recording.begin,recording.end
