NO_OF_FRAMES	23509
NO_OF_CAMERAS	9
NO_OF_MARKERS	0
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-11-03, 08:13:12.823	321964.51460860
DATA_INCLUDED	3D
MARKER_NAMES
TRAJECTORY_TYPES
Frame	Time	
566	1.88333	
567	1.88667	
568	1.89000	
569	1.89333	
570	1.89667	
571	1.90000	
572	1.90333	
573	1.90667	
574	1.91000	
575	1.91333	
576	1.91667	
577	1.92000	
578	1.92333	
579	1.92667	
580	1.93000	
581	1.93333	
582	1.93667	
583	1.94000	
584	1.94333	
585	1.94667	
586	1.95000	
587	1.95333	
588	1.95667	
589	1.96000	
590	1.96333	
591	1.96667	
592	1.97000	
593	1.97333	
594	1.97667	
595	1.98000	
596	1.98333	
597	1.98667	
598	1.99000	
599	1.99333	
600	1.99667	
601	2.00000	
602	2.00333	
603	2.00667	
604	2.01000	
605	2.01333	
606	2.01667	
607	2.02000	
608	2.02333	
609	2.02667	
610	2.03000	
611	2.03333	
612	2.03667	
613	2.04000	
614	2.04333	
615	2.04667	
616	2.05000	
617	2.05333	
618	2.05667	
619	2.06000	
620	2.06333	
621	2.06667	
622	2.07000	
623	2.07333	
624	2.07667	
625	2.08000	
626	2.08333	
627	2.08667	
628	2.09000	
629	2.09333	
630	2.09667	
631	2.10000	
632	2.10333	
633	2.10667	
634	2.11000	
635	2.11333	
636	2.11667	
637	2.12000	
638	2.12333	
639	2.12667	
640	2.13000	
641	2.13333	
642	2.13667	
643	2.14000	
644	2.14333	
645	2.14667	
646	2.15000	
647	2.15333	
648	2.15667	
649	2.16000	
650	2.16333	
651	2.16667	
652	2.17000	
653	2.17333	
654	2.17667	
655	2.18000	
656	2.18333	
657	2.18667	
658	2.19000	
659	2.19333	
660	2.19667	
661	2.20000	
662	2.20333	
663	2.20667	
664	2.21000	
665	2.21333	
666	2.21667	
667	2.22000	
668	2.22333	
669	2.22667	
670	2.23000	
671	2.23333	
672	2.23667	
673	2.24000	
674	2.24333	
675	2.24667	
676	2.25000	
677	2.25333	
678	2.25667	
679	2.26000	
680	2.26333	
681	2.26667	
682	2.27000	
683	2.27333	
684	2.27667	
685	2.28000	
686	2.28333	
687	2.28667	
688	2.29000	
689	2.29333	
690	2.29667	
691	2.30000	
692	2.30333	
693	2.30667	
694	2.31000	
695	2.31333	
696	2.31667	
697	2.32000	
698	2.32333	
699	2.32667	
700	2.33000	
701	2.33333	
702	2.33667	
703	2.34000	
704	2.34333	
705	2.34667	
706	2.35000	
707	2.35333	
708	2.35667	
709	2.36000	
710	2.36333	
711	2.36667	
712	2.37000	
713	2.37333	
714	2.37667	
715	2.38000	
716	2.38333	
717	2.38667	
718	2.39000	
719	2.39333	
720	2.39667	
721	2.40000	
722	2.40333	
723	2.40667	
724	2.41000	
725	2.41333	
726	2.41667	
727	2.42000	
728	2.42333	
729	2.42667	
730	2.43000	
731	2.43333	
732	2.43667	
733	2.44000	
734	2.44333	
735	2.44667	
736	2.45000	
737	2.45333	
738	2.45667	
739	2.46000	
740	2.46333	
741	2.46667	
742	2.47000	
743	2.47333	
744	2.47667	
745	2.48000	
746	2.48333	
747	2.48667	
748	2.49000	
749	2.49333	
750	2.49667	
751	2.50000	
752	2.50333	
753	2.50667	
754	2.51000	
755	2.51333	
756	2.51667	
757	2.52000	
758	2.52333	
759	2.52667	
760	2.53000	
761	2.53333	
762	2.53667	
763	2.54000	
764	2.54333	
765	2.54667	
766	2.55000	
767	2.55333	
768	2.55667	
769	2.56000	
770	2.56333	
771	2.56667	
772	2.57000	
773	2.57333	
774	2.57667	
775	2.58000	
776	2.58333	
777	2.58667	
778	2.59000	
779	2.59333	
780	2.59667	
781	2.60000	
782	2.60333	
783	2.60667	
784	2.61000	
785	2.61333	
786	2.61667	
787	2.62000	
788	2.62333	
789	2.62667	
790	2.63000	
791	2.63333	
792	2.63667	
793	2.64000	
794	2.64333	
795	2.64667	
796	2.65000	
797	2.65333	
798	2.65667	
799	2.66000	
800	2.66333	
801	2.66667	
802	2.67000	
803	2.67333	
804	2.67667	
805	2.68000	
806	2.68333	
807	2.68667	
808	2.69000	
809	2.69333	
810	2.69667	
811	2.70000	
812	2.70333	
813	2.70667	
814	2.71000	
815	2.71333	
816	2.71667	
817	2.72000	
818	2.72333	
819	2.72667	
820	2.73000	
821	2.73333	
822	2.73667	
823	2.74000	
824	2.74333	
825	2.74667	
826	2.75000	
827	2.75333	
828	2.75667	
829	2.76000	
830	2.76333	
831	2.76667	
832	2.77000	
833	2.77333	
834	2.77667	
835	2.78000	
836	2.78333	
837	2.78667	
838	2.79000	
839	2.79333	
840	2.79667	
841	2.80000	
842	2.80333	
843	2.80667	
844	2.81000	
845	2.81333	
846	2.81667	
847	2.82000	
848	2.82333	
849	2.82667	
850	2.83000	
851	2.83333	
852	2.83667	
853	2.84000	
854	2.84333	
855	2.84667	
856	2.85000	
857	2.85333	
858	2.85667	
859	2.86000	
860	2.86333	
861	2.86667	
862	2.87000	
863	2.87333	
864	2.87667	
865	2.88000	
866	2.88333	
867	2.88667	
868	2.89000	
869	2.89333	
870	2.89667	
871	2.90000	
872	2.90333	
873	2.90667	
874	2.91000	
875	2.91333	
876	2.91667	
877	2.92000	
878	2.92333	
879	2.92667	
880	2.93000	
881	2.93333	
882	2.93667	
883	2.94000	
884	2.94333	
885	2.94667	
886	2.95000	
887	2.95333	
888	2.95667	
889	2.96000	
890	2.96333	
891	2.96667	
892	2.97000	
893	2.97333	
894	2.97667	
895	2.98000	
896	2.98333	
897	2.98667	
898	2.99000	
899	2.99333	
900	2.99667	
901	3.00000	
902	3.00333	
903	3.00667	
904	3.01000	
905	3.01333	
906	3.01667	
907	3.02000	
908	3.02333	
909	3.02667	
910	3.03000	
911	3.03333	
912	3.03667	
913	3.04000	
914	3.04333	
915	3.04667	
916	3.05000	
917	3.05333	
918	3.05667	
919	3.06000	
920	3.06333	
921	3.06667	
922	3.07000	
923	3.07333	
924	3.07667	
925	3.08000	
926	3.08333	
927	3.08667	
928	3.09000	
929	3.09333	
930	3.09667	
931	3.10000	
932	3.10333	
933	3.10667	
934	3.11000	
935	3.11333	
936	3.11667	
937	3.12000	
938	3.12333	
939	3.12667	
940	3.13000	
941	3.13333	
942	3.13667	
943	3.14000	
944	3.14333	
945	3.14667	
946	3.15000	
947	3.15333	
948	3.15667	
949	3.16000	
950	3.16333	
951	3.16667	
952	3.17000	
953	3.17333	
954	3.17667	
955	3.18000	
956	3.18333	
957	3.18667	
958	3.19000	
959	3.19333	
960	3.19667	
961	3.20000	
962	3.20333	
963	3.20667	
964	3.21000	
965	3.21333	
966	3.21667	
967	3.22000	
968	3.22333	
969	3.22667	
970	3.23000	
971	3.23333	
972	3.23667	
973	3.24000	
974	3.24333	
975	3.24667	
976	3.25000	
977	3.25333	
978	3.25667	
979	3.26000	
980	3.26333	
981	3.26667	
982	3.27000	
983	3.27333	
984	3.27667	
985	3.28000	
986	3.28333	
987	3.28667	
988	3.29000	
989	3.29333	
990	3.29667	
991	3.30000	
992	3.30333	
993	3.30667	
994	3.31000	
995	3.31333	
996	3.31667	
997	3.32000	
998	3.32333	
999	3.32667	
1000	3.33000	
1001	3.33333	
1002	3.33667	
1003	3.34000	
1004	3.34333	
1005	3.34667	
1006	3.35000	
1007	3.35333	
1008	3.35667	
1009	3.36000	
1010	3.36333	
1011	3.36667	
1012	3.37000	
1013	3.37333	
1014	3.37667	
1015	3.38000	
1016	3.38333	
1017	3.38667	
1018	3.39000	
1019	3.39333	
1020	3.39667	
1021	3.40000	
1022	3.40333	
1023	3.40667	
1024	3.41000	
1025	3.41333	
1026	3.41667	
1027	3.42000	
1028	3.42333	
1029	3.42667	
1030	3.43000	
1031	3.43333	
1032	3.43667	
1033	3.44000	
1034	3.44333	
1035	3.44667	
1036	3.45000	
1037	3.45333	
1038	3.45667	
1039	3.46000	
1040	3.46333	
1041	3.46667	
1042	3.47000	
1043	3.47333	
1044	3.47667	
1045	3.48000	
1046	3.48333	
1047	3.48667	
1048	3.49000	
1049	3.49333	
1050	3.49667	
1051	3.50000	
1052	3.50333	
1053	3.50667	
1054	3.51000	
1055	3.51333	
1056	3.51667	
1057	3.52000	
1058	3.52333	
1059	3.52667	
1060	3.53000	
1061	3.53333	
1062	3.53667	
1063	3.54000	
1064	3.54333	
1065	3.54667	
1066	3.55000	
1067	3.55333	
1068	3.55667	
1069	3.56000	
1070	3.56333	
1071	3.56667	
1072	3.57000	
1073	3.57333	
1074	3.57667	
1075	3.58000	
1076	3.58333	
1077	3.58667	
1078	3.59000	
1079	3.59333	
1080	3.59667	
1081	3.60000	
1082	3.60333	
1083	3.60667	
1084	3.61000	
1085	3.61333	
1086	3.61667	
1087	3.62000	
1088	3.62333	
1089	3.62667	
1090	3.63000	
1091	3.63333	
1092	3.63667	
1093	3.64000	
1094	3.64333	
1095	3.64667	
1096	3.65000	
1097	3.65333	
1098	3.65667	
1099	3.66000	
1100	3.66333	
1101	3.66667	
1102	3.67000	
1103	3.67333	
1104	3.67667	
1105	3.68000	
1106	3.68333	
1107	3.68667	
1108	3.69000	
1109	3.69333	
1110	3.69667	
1111	3.70000	
1112	3.70333	
1113	3.70667	
1114	3.71000	
1115	3.71333	
1116	3.71667	
1117	3.72000	
1118	3.72333	
1119	3.72667	
1120	3.73000	
1121	3.73333	
